,concept_1,concept_2,colexification_count,age_acquisition_diff
231,ASH,SNAKE,3,54.0
232,ASH,STOVE,1,46.0
233,ASH,SUN,2,162.0
234,ASH,THROW,2,79.0
235,ASH,WOMAN,1,85.0
236,ASH,WORM,3,90.0
237,ASH,YEAR,1,74.0
238,AUNT,BROTHER,3,14.0
239,AUNT,COUSIN,8,45.0
240,AUNT,FACE,1,67.0
241,AUNT,FOREST,1,64.0
242,AUNT,GRANDMOTHER,9,25.0
243,AUNT,HEAD,1,52.0
244,AUNT,HORN (ANATOMY),1,75.0
245,AUNT,INTENTION,1,248.0
246,AUNT,LOVE,1,70.0
247,AUNT,MOTHER,13,89.0
248,AUNT,SEASON,1,95.0
249,AUNT,SMOKE (EXHAUST),1,5.0
250,AUNT,TENT,1,50.0
251,AUNT,THROW,1,31.0
252,AUNT,UNCLE,24,41.0
253,AUNT,WALK,1,27.0
254,AUNT,WOMAN,1,25.0
255,AUTUMN,CATTLE,3,17.0
256,AUTUMN,CHICKEN,4,28.0
257,AUTUMN,FAT (ORGANIC SUBSTANCE),1,42.0
258,AUTUMN,GUN,1,50.0
259,AUTUMN,HARVEST,6,44.0
260,AUTUMN,HATE,2,0.0
261,AUTUMN,SUMMER,6,25.0
262,AUTUMN,WINTER,13,42.0
263,AUTUMN,WOMAN,1,20.0
264,AUTUMN,YEAR,6,9.0
265,AXE,BILL,1,95.0
266,AXE,BURN (SOMETHING),1,94.0
267,AXE,CHOP,3,6.0
268,AXE,CHOP (INTO PIECES),1,6.0
269,AXE,CURE,1,39.0
270,AXE,DARKNESS,1,69.0
271,AXE,EDGE,1,3.0
272,AXE,EYE,1,144.0
273,AXE,FACE,2,145.0
274,AXE,FLESH,1,100.0
275,AXE,FROG,1,53.0
276,AXE,FROST,1,47.0
277,AXE,GRAPE,2,14.0
278,AXE,HAMMER,3,33.0
279,AXE,HEAD,2,130.0
280,AXE,HEART,1,30.0
281,AXE,IRON,4,30.0
282,AXE,NIGHT,1,89.0
283,AXE,OX,1,18.0
284,AXE,PIG,2,78.0
285,AXE,POND,1,72.0
286,AXE,POT,1,94.0
287,AXE,POUND,2,3.0
288,AXE,SAW,15,42.0
289,AXE,SWORD,4,31.0
290,AXE,WORM,1,58.0
291,AXE (CLASSIFIER),CHICKEN (CLASSIFIER),1,61.0
292,BACK,BITE,1,11.0
293,BACK,BODY,1,42.0
294,BACK,BUNCH,1,92.0
295,BACK,CIRCLE,1,11.0
296,BACK,CLOTHES,1,31.0
297,BACK,ELBOW,1,12.0
298,BACK,HEAD,1,44.0
299,BACK,HEART,1,56.0
300,BACK,HILL,2,31.0
301,BACK,KNEE,2,6.0
302,BACK,LIVER,1,128.0
303,BACK,MOTHER,3,81.0
304,BACK,NOSE,1,19.0
305,BACK,RAIN (RAINING),1,14.0
306,BACK,ROPE,1,56.0
307,BACK,SAND,1,8.0
308,BACK,SHOULDER,10,39.0
309,BACK,SMOKE (EXHAUST),1,3.0
310,BACK,TOE,1,31.0
311,BACK,TURN,1,8.0
312,BACK,WAIST,13,100.0
313,BACK,WHEAT,1,161.0
314,BAG,NOSE,1,11.0
315,BAG,PEOPLE,1,64.0
316,BALL,BOUNDARY,1,322.0
317,BALL,BRIDGE,2,139.0
318,BALL,CIRCLE,17,64.0
319,BALL,EARTH (SOIL),1,167.0
320,BALL,EYE,1,17.0
321,BALL,FRUIT,2,69.0
322,BALL,HAMMER,1,128.0
323,BALL,LEAD (CHEMICAL ELEMENT),1,250.0
324,BALL,LINE,1,125.0
325,BALL,PLACE (POSITION),1,119.0
326,BALL,ROPE,1,131.0
327,BALL,SWALLOW,1,158.0
328,BALL,THROW,1,114.0
329,BALL,WINDOW,1,81.0
330,BALL,WORM,1,103.0
331,BAY,BERRY,1,47.0
332,BAY,BLAME,1,8.0
333,BAY,DITCH,1,44.0
334,BAY,EDGE,1,28.0
335,BAY,ELBOW,1,99.0
336,BAY,GRAPE,1,39.0
337,BAY,ISLAND,2,47.0
338,BAY,LOVE,1,33.0
339,BAY,OCEAN,1,19.0
340,BAY,PORT,5,36.0
341,BAY,SWELL,3,92.0
342,BAY,VALLEY,1,3.0
343,BAY,VILLAGE,1,19.0
344,BAY,WOOD,1,67.0
345,BEAM,BOW,1,123.0
346,BEAM,BRIDGE,2,105.0
347,BEAM,COLD,2,211.0
348,BEAM,COLD (OF WEATHER),1,211.0
349,BEAM,DOOR,1,180.0
350,BEAM,FIREWOOD,1,63.0
351,BEAM,GRANDFATHER,1,180.0
352,BEAM,GRANDMOTHER,1,186.0
353,BEAM,INSECT,1,111.0
354,BEAM,JUMP,1,172.0
355,BEAM,LATCH,1,8.0
356,BEAM,MEASURE,3,50.0
357,BEAM,PILLOW,1,177.0
358,BEAM,POST,10,88.0
