Unnamed: 0,concept_1,concept_2,colexification_count,age_acquisition_diff,assoc,Word2Vec_similarity,concreteness_diff,concreteness_1,concreteness_2,target
246,AUNT,LOVE,1,70.0,1.0,0.5515354871749878,253.0,564.0,311.0,0
247,AUNT,MOTHER,13,89.0,7.0,0.5005091428756714,15.0,564.0,579.0,1
248,AUNT,SEASON,1,95.0,0.0,0.4641203880310058,119.0,564.0,445.0,0
250,AUNT,TENT,1,50.0,0.0,0.5480901002883911,44.0,564.0,608.0,0
251,AUNT,THROW,1,31.0,0.0,0.659762978553772,164.0,564.0,400.0,0
252,AUNT,UNCLE,24,41.0,65.0,0.3905391991138458,16.0,564.0,580.0,1
253,AUNT,WALK,1,27.0,0.0,0.4888287484645843,112.0,564.0,452.0,0
254,AUNT,WOMAN,1,25.0,12.0,0.5558213591575623,16.0,564.0,580.0,0
255,AUTUMN,CATTLE,3,17.0,0.0,0.4467812776565552,179.0,421.0,600.0,1
256,AUTUMN,CHICKEN,4,28.0,0.0,0.5025503635406494,193.0,421.0,614.0,1
258,AUTUMN,GUN,1,50.0,0.0,0.478598415851593,191.0,421.0,612.0,0
259,AUTUMN,HARVEST,6,44.0,2.0,0.6261483430862427,114.0,421.0,535.0,1
260,AUTUMN,HATE,2,0.0,0.0,0.4133512675762176,86.0,421.0,335.0,1
261,AUTUMN,SUMMER,6,25.0,5.0,0.6743690967559814,18.0,421.0,439.0,1
262,AUTUMN,WINTER,13,42.0,11.0,0.686795711517334,78.0,421.0,499.0,1
263,AUTUMN,WOMAN,1,20.0,0.0,0.3934658765792846,159.0,421.0,580.0,0
264,AUTUMN,YEAR,6,9.0,0.0,0.3881040811538696,57.0,421.0,364.0,1
265,AXE,BILL,1,95.0,0.0,0.2095283716917038,95.0,623.0,528.0,0
267,AXE,CHOP,3,6.0,28.0,0.1028777807950973,68.0,623.0,555.0,1
269,AXE,CURE,1,39.0,0.0,0.1182771027088165,271.0,623.0,352.0,0
270,AXE,DARKNESS,1,69.0,0.0,0.2897054851055145,204.0,623.0,419.0,0
271,AXE,EDGE,1,3.0,1.0,0.2671544849872589,158.0,623.0,465.0,0
272,AXE,EYE,1,144.0,0.0,0.3864873349666595,11.0,623.0,634.0,0
273,AXE,FACE,2,145.0,0.0,0.3015536367893219,24.0,623.0,599.0,1
274,AXE,FLESH,1,100.0,0.0,0.3385505080223083,26.0,623.0,597.0,0
275,AXE,FROG,1,53.0,0.0,0.2350075095891952,4.0,623.0,619.0,0
276,AXE,FROST,1,47.0,0.0,0.2153919339179992,15.0,623.0,608.0,0
277,AXE,GRAPE,2,14.0,0.0,0.2996793091297149,12.0,623.0,611.0,1
278,AXE,HAMMER,3,33.0,2.0,0.3054886162281036,18.0,623.0,605.0,1
279,AXE,HEAD,2,130.0,1.0,0.3058680593967438,20.0,623.0,603.0,1
280,AXE,HEART,1,30.0,0.0,0.2286879867315292,18.0,623.0,605.0,0
281,AXE,IRON,4,30.0,2.0,0.2855092585086822,39.0,623.0,584.0,1
282,AXE,NIGHT,1,89.0,0.0,0.2351551353931427,127.0,623.0,496.0,0
283,AXE,OX,1,18.0,0.0,0.2259573191404342,10.0,623.0,633.0,0
284,AXE,PIG,2,78.0,0.0,0.1904739290475845,9.0,623.0,614.0,1
285,AXE,POND,1,72.0,0.0,0.1635441780090332,0.0,623.0,623.0,0
286,AXE,POT,1,94.0,0.0,0.2718917429447174,39.0,623.0,584.0,0
287,AXE,POUND,2,3.0,0.0,0.1868484020233154,108.0,623.0,515.0,1
288,AXE,SAW,15,42.0,2.0,0.2922750115394592,91.0,623.0,532.0,1
289,AXE,SWORD,4,31.0,1.0,0.312454879283905,46.0,623.0,577.0,1
290,AXE,WORM,1,58.0,0.0,0.1176952272653579,12.0,623.0,611.0,0
292,BACK,BITE,1,11.0,0.0,0.3714252710342407,31.0,540.0,509.0,0
293,BACK,BODY,1,42.0,5.0,0.4295028746128082,28.0,540.0,568.0,0
294,BACK,BUNCH,1,92.0,0.0,0.5235183835029602,88.0,540.0,452.0,0
295,BACK,CIRCLE,1,11.0,0.0,0.3897083699703216,25.0,540.0,515.0,0
296,BACK,CLOTHES,1,31.0,0.0,0.5973339080810547,60.0,540.0,600.0,0
297,BACK,ELBOW,1,12.0,0.0,0.6514069437980652,67.0,540.0,607.0,0
298,BACK,HEAD,1,44.0,0.0,0.5752878785133362,63.0,540.0,603.0,0
299,BACK,HEART,1,56.0,0.0,0.454604834318161,65.0,540.0,605.0,0
300,BACK,HILL,2,31.0,0.0,0.5396431684494019,48.0,540.0,588.0,1
301,BACK,KNEE,2,6.0,0.0,0.6176398992538452,53.0,540.0,593.0,1
302,BACK,LIVER,1,128.0,0.0,0.5388217568397522,77.0,540.0,617.0,0
303,BACK,MOTHER,3,81.0,0.0,0.3770264387130737,39.0,540.0,579.0,1
304,BACK,NOSE,1,19.0,0.0,0.5482972860336304,88.0,540.0,628.0,0
306,BACK,ROPE,1,56.0,0.0,0.359319120645523,68.0,540.0,608.0,0
307,BACK,SAND,1,8.0,0.0,0.3683623969554901,76.0,540.0,616.0,0
308,BACK,SHOULDER,10,39.0,1.0,0.6580076813697815,49.0,540.0,589.0,1
310,BACK,TOE,1,31.0,0.0,0.3705714643001556,67.0,540.0,607.0,0
311,BACK,TURN,1,8.0,1.0,0.5895590782165527,181.0,540.0,359.0,0
312,BACK,WAIST,13,100.0,0.0,0.5414756536483765,23.0,540.0,563.0,1
313,BACK,WHEAT,1,161.0,0.0,0.4427469968795776,54.0,540.0,594.0,0
314,BAG,NOSE,1,11.0,0.0,0.43183434009552,25.0,603.0,628.0,0
315,BAG,PEOPLE,1,64.0,0.0,0.3210831880569458,63.0,603.0,540.0,0
316,BALL,BOUNDARY,1,322.0,0.0,0.5459936261177063,204.0,615.0,411.0,0
317,BALL,BRIDGE,2,139.0,0.0,0.3491500616073608,8.0,615.0,623.0,1
318,BALL,CIRCLE,17,64.0,2.0,0.3769389986991882,100.0,615.0,515.0,1
320,BALL,EYE,1,17.0,0.0,0.3781995773315429,19.0,615.0,634.0,0
321,BALL,FRUIT,2,69.0,0.0,0.5000891089439392,3.0,615.0,612.0,1
322,BALL,HAMMER,1,128.0,0.0,0.3446865081787109,10.0,615.0,605.0,0
324,BALL,LINE,1,125.0,0.0,0.4911396205425262,138.0,615.0,477.0,0
326,BALL,ROPE,1,131.0,0.0,0.3681807219982147,7.0,615.0,608.0,0
327,BALL,SWALLOW,1,158.0,0.0,0.560156524181366,68.0,615.0,547.0,0
328,BALL,THROW,1,114.0,7.0,0.5931388139724731,215.0,615.0,400.0,0
329,BALL,WINDOW,1,81.0,0.0,0.501125693321228,6.0,615.0,609.0,0
330,BALL,WORM,1,103.0,0.0,0.190177708864212,4.0,615.0,611.0,0
331,BAY,BERRY,1,47.0,0.0,0.4196180999279022,7.0,580.0,573.0,0
332,BAY,BLAME,1,8.0,0.0,0.3427395224571228,287.0,580.0,293.0,0
333,BAY,DITCH,1,44.0,0.0,0.4631668925285339,25.0,580.0,555.0,0
334,BAY,EDGE,1,28.0,0.0,0.2290117889642715,115.0,580.0,465.0,0
335,BAY,ELBOW,1,99.0,0.0,0.3989165425300598,27.0,580.0,607.0,0
336,BAY,GRAPE,1,39.0,0.0,0.392300933599472,31.0,580.0,611.0,0
337,BAY,ISLAND,2,47.0,1.0,0.6670107245445251,16.0,580.0,596.0,1
338,BAY,LOVE,1,33.0,0.0,0.3899321854114532,269.0,580.0,311.0,0
339,BAY,OCEAN,1,19.0,18.0,0.5040127635002136,13.0,580.0,593.0,0
340,BAY,PORT,5,36.0,2.0,0.4564506113529205,49.0,580.0,531.0,1
341,BAY,SWELL,3,92.0,0.0,0.4549307823181152,169.0,580.0,411.0,1
