Unnamed: 0,concept_1,concept_2,colexification_count,age_acquisition_diff,assoc,Word2Vec_similarity
159,ARM,MOUNTAIN,1,91.0,0.0,0.0945054441690445
161,ARM,NIGHT,3,30.0,0.0,0.006094440817832947
162,ARM,PILLOW,1,25.0,0.0,0.09827392548322678
163,ARM,POST,1,114.0,0.0,0.20440223813056946
165,ARM,ROOM,2,52.0,0.0,0.12123295664787292
166,ARM,ROPE,1,89.0,0.0,0.09974405169487
167,ARM,SHOULDER,8,72.0,5.0,0.11398465931415558
168,ARM,SLAVE,2,194.0,0.0,0.09641682356595993
169,ARM,STRENGTH,1,133.0,1.0,0.1875663846731186
170,ARM,SWEEP,1,89.0,0.0,0.0949774831533432
171,ARM,VALLEY,6,147.0,0.0,0.08410941809415817
172,ARM,WASH,2,6.0,0.0,0.09741758555173874
173,ARM,WEST,1,150.0,0.0,0.1530819535255432
174,ARM,WOMAN,1,66.0,0.0,0.08573734760284424
175,ARMOUR,CAR,1,203.0,0.0,0.12870261073112488
176,ARMOUR,CLOTHES,1,206.0,0.0,0.2046113908290863
177,ARMOUR,HAMMER,1,122.0,0.0,0.23383963108062744
178,ARMOUR,IRON,1,119.0,0.0,0.3153589069843292
179,ARMOUR,ISLAND,2,111.0,0.0,0.19583582878112793
180,ARMOUR,LOCK,1,72.0,0.0,0.19970931112766266
181,ARMOUR,OVEN,1,164.0,0.0,0.30236539244651794
182,ARMOUR,SHIELD,6,50.0,0.0,0.22252905368804932
183,ARMOUR,TOOL,2,100.0,0.0,0.17930135130882263
184,ARMOUR,VOICE,1,125.0,0.0,0.18516555428504944
185,ARMY,BRICK,1,56.0,0.0,0.29688704013824463
186,ARMY,COUNTRY,1,12.0,1.0,0.45398688316345215
187,ARMY,DOOR,1,103.0,0.0,0.39045318961143494
189,ARMY,ENEMY,1,50.0,0.0,0.5110673904418945
190,ARMY,FIGHT,1,56.0,5.0,0.4213661849498749
191,ARMY,GUARD,3,27.0,0.0,0.5515904426574707
192,ARMY,HEAVEN,2,45.0,0.0,0.4457077085971832
193,ARMY,LOVE,1,14.0,0.0,0.4462786912918091
194,ARMY,MOTHER,1,173.0,0.0,0.2737613916397095
195,ARMY,NIGHT,1,95.0,0.0,0.43167760968208313
196,ARMY,PEOPLE,1,36.0,0.0,0.3398744761943817
197,ARMY,SLAVE,1,69.0,0.0,0.4069548547267914
198,ARMY,SOLDIER,43,42.0,30.0,0.5145691633224487
199,ARMY,WAR,1,3.0,26.0,0.4288052022457123
200,ARMY,WHEAT,1,69.0,0.0,0.33743834495544434
201,ARMY,WOOD,1,48.0,0.0,0.28575196862220764
202,ASH,BITE,1,129.0,0.0,0.18242481350898743
203,ASH,BOW,2,72.0,0.0,0.2907622754573822
204,ASH,BURN,1,126.0,11.0,0.2202070951461792
206,ASH,COTTON,1,37.0,0.0,0.2541848123073578
207,ASH,COVER,1,54.0,0.0,0.22317840158939362
208,ASH,DOG,2,174.0,1.0,0.12417904287576675
209,ASH,DOOR,2,129.0,0.0,0.11315564811229706
211,ASH,FAMILY,1,63.0,0.0,0.16659139096736908
212,ASH,FIGHT,1,82.0,0.0,0.16360114514827728
213,ASH,FINISH,1,43.0,0.0,0.20579634606838226
214,ASH,FRUIT,1,124.0,0.0,0.17252297699451447
215,ASH,GREEN,1,118.0,0.0,0.1838233470916748
216,ASH,GROUND,1,85.0,0.0,0.22821904718875885
217,ASH,ISLAND,1,54.0,0.0,0.17972806096076965
218,ASH,LAND,1,57.0,0.0,0.1634664088487625
221,ASH,LOOK,1,118.0,0.0,0.18303215503692627
222,ASH,MOTHER,1,199.0,0.0,0.13333216309547424
224,ASH,OVEN,5,107.0,0.0,0.16974583268165588
226,ASH,SAND,3,126.0,0.0,0.17978081107139587
227,ASH,SERVANT,1,63.0,0.0,0.22399930655956268
228,ASH,SHAME,3,24.0,0.0,0.21220055222511292
229,ASH,SLAVE,4,43.0,0.0,0.15569962561130524
231,ASH,SNAKE,3,54.0,0.0,0.18538521230220795
232,ASH,STOVE,1,46.0,1.0,0.2356409728527069
233,ASH,SUN,2,162.0,0.0,0.23871690034866333
234,ASH,THROW,2,79.0,0.0,0.18628445267677307
235,ASH,WOMAN,1,85.0,0.0,0.1058536022901535
236,ASH,WORM,3,90.0,0.0,0.12279681116342545
237,ASH,YEAR,1,74.0,0.0,0.15948820114135742
238,AUNT,BROTHER,3,14.0,1.0,0.6532240509986877
239,AUNT,COUSIN,8,45.0,15.0,0.7620368003845215
240,AUNT,FACE,1,67.0,0.0,0.42775270342826843
241,AUNT,FOREST,1,64.0,0.0,0.4354209005832672
242,AUNT,GRANDMOTHER,9,25.0,0.0,0.5879913568496704
243,AUNT,HEAD,1,52.0,0.0,0.47488999366760254
245,AUNT,INTENTION,1,248.0,0.0,0.5265389084815979
246,AUNT,LOVE,1,70.0,1.0,0.5515354871749878
247,AUNT,MOTHER,13,89.0,7.0,0.5005091428756714
248,AUNT,SEASON,1,95.0,0.0,0.46412038803100586
250,AUNT,TENT,1,50.0,0.0,0.5480901002883911
251,AUNT,THROW,1,31.0,0.0,0.659762978553772
252,AUNT,UNCLE,24,41.0,65.0,0.3905391991138458
253,AUNT,WALK,1,27.0,0.0,0.48882874846458435
254,AUNT,WOMAN,1,25.0,12.0,0.5558213591575623
255,AUTUMN,CATTLE,3,17.0,0.0,0.4467812776565552
256,AUTUMN,CHICKEN,4,28.0,0.0,0.5025503635406494
258,AUTUMN,GUN,1,50.0,0.0,0.478598415851593
259,AUTUMN,HARVEST,6,44.0,2.0,0.6261483430862427
260,AUTUMN,HATE,2,0.0,0.0,0.41335126757621765
261,AUTUMN,SUMMER,6,25.0,5.0,0.6743690967559814
262,AUTUMN,WINTER,13,42.0,11.0,0.686795711517334
263,AUTUMN,WOMAN,1,20.0,0.0,0.39346587657928467
264,AUTUMN,YEAR,6,9.0,0.0,0.38810408115386963
265,AXE,BILL,1,95.0,0.0,0.2095283716917038
267,AXE,CHOP,3,6.0,28.0,0.10287778079509735
269,AXE,CURE,1,39.0,0.0,0.11827710270881653
